Assessment_ID,Intake_Proficiency_Score,Intake_Applications_Score,Outcome_Proficiency_Score,Outcome_Applications_Score
A53313,0.843,0.707,0.932,0.892
X77946,0.441,0.369,0.636,0.592
P78874,0.648,0.545,0.801,0.739
X38950,0.743,0.734,0.91,0.891
A32703,0.638,0.52,0.758,0.687
P82786,0.206,0.217,0.518,0.33
A88714,0.177,0.259,0.603,0.536
P97917,0.642,0.498,0.743,0.749
X70078,0.202,0.261,0.387,0.457
D27024,0.211,0.174,0.551,0.493
S71269,0.592,0.507,0.733,0.749
S59661,0.161,0.28,0.275,0.302
D47612,0.504,0.439,0.662,0.604
S87005,0.304,0.174,0.831,0.731
A75304,0.257,0.162,0.76,0.825
D45369,0.144,0.228,0.917,1.0
S93428,0.587,0.484,0.797,0.804
D35068,0.578,0.529,0.85,0.697
P97842,0.725,0.62,0.875,0.823
D54342,0.231,0.163,0.908,0.786
S98697,0.568,0.449,0.769,0.708
S50347,0.143,0.174,0.286,0.247
X24858,0.275,0.153,0.74,0.768
A36142,0.612,0.365,0.886,0.643
P23020,0.593,0.412,0.768,0.551
A40951,0.614,0.427,0.777,0.648
P74383,0.14,0.252,0.497,0.329
S97375,0.496,0.375,0.776,0.619
X62905,0.329,0.456,0.588,0.7
X32570,0.303,0.224,0.881,0.681
P25639,0.444,0.367,0.778,0.676
D68057,0.135,0.212,0.615,0.492
S46540,0.176,0.169,0.366,0.514
D99700,0.643,0.655,0.772,0.789
X46062,0.371,0.211,0.821,0.825
P88258,0.271,0.298,0.523,0.406
S60688,0.545,0.529,0.769,0.696
A58300,0.171,0.066,0.809,0.839
A59558,0.577,0.434,0.8,0.711
S72117,0.342,0.26,0.766,0.824
S98402,0.486,0.419,0.765,0.682
A30444,0.534,0.382,0.784,0.71
D10053,0.281,0.251,0.773,0.924
D22481,0.231,0.289,0.488,0.605
A11849,0.356,0.234,0.79,0.805
A61890,0.341,0.186,0.761,0.719
S74091,0.599,0.443,0.759,0.703
D43612,0.27,0.226,0.608,0.517
P84237,0.209,0.199,0.733,0.689
S50144,0.389,0.198,0.773,0.779
P52190,0.246,0.246,0.44,0.435
A88944,0.446,0.357,0.83,0.728
X75114,0.22,0.21,0.879,0.76
D11992,0.423,0.39,0.715,0.714
P97700,0.421,0.435,0.754,0.785
X30290,0.301,0.223,0.824,0.722
D99162,0.555,0.579,0.747,0.751
A15577,0.238,0.228,0.733,0.883
D94548,0.493,0.47,0.732,0.732
P93569,0.205,0.126,0.632,0.807
P75362,0.441,0.351,0.66,0.657
A62453,0.636,0.56,0.769,0.741
D95011,0.411,0.339,0.889,0.842
D76363,0.515,0.389,0.844,0.683
P23568,0.49,0.391,0.814,0.592
S48695,0.792,0.615,0.865,0.755
S80182,0.562,0.47,0.851,0.849
P81208,0.595,0.576,0.77,0.734
A20728,0.5,0.383,0.681,0.805
A84916,0.219,0.217,0.586,0.552
D43995,0.553,0.545,0.629,0.795
X80436,0.518,0.49,0.735,0.708
X81771,0.261,0.152,0.843,0.743
S48846,0.429,0.42,0.714,0.66
D67702,0.518,0.465,0.87,0.798
D30812,0.295,0.149,0.854,0.811
A39799,0.625,0.395,0.77,0.62
P10338,0.281,0.176,0.841,0.795
A30227,0.327,0.112,0.869,0.802
P73208,0.574,0.569,0.747,0.752
X86856,0.182,0.222,0.595,0.429
A46718,0.428,0.381,0.715,0.649
A96690,0.265,0.238,0.675,0.905
D60784,0.244,0.173,0.691,0.771
D98258,0.633,0.549,0.733,0.693
P67148,0.292,0.32,0.728,0.74
S10176,0.192,0.195,0.382,0.416
D59471,0.297,0.266,0.413,0.358
X52947,0.866,0.576,0.939,0.858
X78475,0.53,0.454,0.735,0.813
X78957,0.573,0.465,0.804,0.672
P56262,0.56,0.439,0.766,0.609
P72500,0.162,0.207,0.498,0.258
S17132,0.575,0.266,0.856,0.689
A74904,0.17,0.216,0.361,0.307
P36537,0.193,0.098,0.966,0.988
S94348,0.601,0.537,0.759,0.88
A37966,0.541,0.396,0.775,0.734
P56059,0.652,0.493,0.738,0.717
P22723,0.165,0.265,0.691,0.569
D19525,0.325,0.187,0.775,0.819
A96670,0.225,0.212,0.501,0.458
A14634,0.633,0.551,0.874,0.745
A47044,0.396,0.139,0.893,0.781
X45406,0.646,0.54,0.806,0.723
S12355,0.243,0.151,0.361,0.369
A38490,0.625,0.494,0.826,0.766
A48376,0.251,0.12,0.82,0.999
A68649,0.161,0.182,0.287,0.308
A74351,0.347,0.11,0.877,0.895
A35817,0.536,0.51,0.753,0.62
X74317,0.123,0.153,0.234,0.308
D82718,0.687,0.561,0.825,0.781
P84536,0.52,0.388,0.867,0.686
A93629,0.371,0.506,0.588,0.652
A51727,0.627,0.441,0.826,0.737
X32885,0.234,0.323,0.728,0.751
S97335,0.24,0.226,0.794,1.0
S78300,0.479,0.471,0.769,0.786
D95877,0.56,0.378,0.692,0.639
S31881,0.42,0.432,0.728,0.652
P52341,0.264,0.173,0.804,0.574
A37081,0.449,0.375,0.669,0.683
S60560,0.416,0.369,0.717,0.687
X52577,0.561,0.5,0.777,0.732
X25432,0.275,0.227,0.806,0.802
P81106,0.489,0.514,0.735,0.741
X52408,0.433,0.313,0.785,0.761
X14140,0.441,0.323,0.848,0.785
X91317,0.478,0.492,0.799,0.772
X55820,0.691,0.393,0.866,0.72
D92084,0.425,0.336,0.814,0.793
X71823,0.365,0.461,0.777,0.837
D71779,0.661,0.504,0.78,0.593
D93870,0.592,0.482,0.788,0.661
A27371,0.267,0.189,0.761,0.665
S96869,0.494,0.387,0.739,0.692
D35593,0.393,0.205,0.876,0.761
S44009,0.223,0.162,0.336,0.256
D79627,0.286,0.249,0.767,0.853
A83410,0.223,0.172,0.401,0.203
X34923,0.317,0.187,0.771,0.775
A73759,0.587,0.673,0.712,0.788
X79071,0.551,0.464,0.776,0.73
X26487,0.543,0.439,0.654,0.649
S59400,0.54,0.459,0.777,0.73
D87000,0.307,0.214,0.508,0.285
X31708,0.608,0.499,0.902,0.769
X23430,0.296,0.143,0.84,0.675
X19223,0.677,0.487,0.812,0.713
A90729,0.247,0.143,0.586,0.395
S71995,0.135,0.179,0.58,0.455
S62343,0.169,0.19,0.329,0.32
S85526,0.234,0.238,0.817,0.686
D98734,0.408,0.412,0.713,0.668
P67760,0.412,0.45,0.78,0.867
A43072,0.234,0.211,0.869,0.767
D55859,0.616,0.493,0.798,0.751
P68253,0.087,0.196,0.495,0.481
A88375,0.323,0.264,0.867,0.745
P78906,0.531,0.417,0.834,0.749
X62261,0.428,0.418,0.643,0.643
X21406,0.46,0.4,0.811,0.708
P96051,0.344,0.379,0.73,0.681
S27970,0.151,0.175,0.328,0.424
X25623,0.385,0.152,0.876,0.821
X83084,0.425,0.445,0.704,0.808
A45099,0.809,0.614,0.89,0.844
X23612,0.671,0.65,0.825,0.781
S18888,0.446,0.432,0.707,0.714
D99415,0.518,0.392,0.819,0.679
P25372,0.403,0.357,0.688,0.641
D88753,0.617,0.449,0.786,0.715
D60869,0.276,0.268,0.381,0.292
D49692,0.88,0.708,0.929,0.89
D22820,0.502,0.35,0.701,0.664
X86254,0.604,0.545,0.798,0.726
D12709,0.511,0.521,0.753,0.79
A45072,0.299,0.187,0.929,0.832
A36246,0.513,0.387,0.855,0.737
P12410,0.412,0.202,0.839,0.952
A32682,0.457,0.328,0.702,0.772
S71763,0.456,0.429,0.724,0.775
A59580,0.44,0.408,0.637,0.704
S68694,0.478,0.364,0.659,0.661
X19843,0.543,0.429,0.781,0.63
P42037,0.463,0.334,0.798,0.827
X84058,0.528,0.414,0.865,0.681
S32067,0.499,0.43,0.817,0.769
A62290,0.428,0.395,0.688,0.679
X88228,0.252,0.191,0.854,0.829
S97168,0.25,0.198,0.586,0.479
X37965,0.131,0.154,0.399,0.343
D72972,0.091,0.18,0.489,0.454
X68644,0.239,0.167,0.552,0.372
X71145,0.055,0.157,0.537,0.517
P68813,0.569,0.414,0.838,0.712
D73659,0.667,0.622,0.793,0.724
S50732,0.616,0.454,0.797,0.679
A83809,0.538,0.436,0.778,0.739
P33897,0.379,0.43,0.612,0.492
A99945,0.621,0.549,0.753,0.684
X40694,0.26,0.199,0.422,0.38
D93011,0.504,0.408,0.696,0.747
X67936,0.412,0.32,0.734,0.71
D21352,0.69,0.554,0.817,0.692
X68159,0.218,0.246,0.739,0.691
X21000,0.543,0.375,0.789,0.689
S83813,0.619,0.539,0.795,0.746
D53949,0.701,0.468,0.782,0.744
D73432,0.205,0.216,0.19,0.358
S50459,0.644,0.498,0.793,0.714
A81229,0.284,0.096,0.762,0.704
S76073,0.35,0.223,0.871,0.872
X17005,0.548,0.551,0.769,0.807
X50101,0.207,0.171,0.448,0.257
X40636,0.352,0.142,0.919,1.0
D53332,0.413,0.358,0.78,0.761
S85132,0.186,0.142,0.462,0.29
D94119,0.18,0.336,0.923,0.927
D56986,0.45,0.342,0.701,0.712
X54603,0.309,0.201,0.794,0.665
S11279,0.631,0.592,0.701,0.735
X69513,0.668,0.527,0.835,0.638
P99459,0.267,0.177,0.568,0.44
P33584,0.708,0.561,0.817,0.788
X78042,0.173,0.096,0.47,0.482
X11969,0.333,0.234,0.897,0.706
S63433,0.563,0.516,0.757,0.689
A12136,0.339,0.191,0.941,0.91
D64709,0.284,0.23,0.612,0.427
D54402,0.532,0.446,0.749,0.714
A43048,0.319,0.412,0.601,0.637
P88422,0.25,0.299,0.677,0.446
X20781,0.611,0.439,0.724,0.699
S26001,0.572,0.405,0.797,0.681
A20599,0.346,0.139,0.772,0.766
X93026,0.185,0.18,0.406,0.385
D11916,0.579,0.538,0.82,0.755
P84958,0.456,0.532,0.638,0.753
S41560,0.322,0.289,0.565,0.517
S47230,0.857,0.86,0.923,0.895
P69121,0.591,0.575,0.686,0.768
X59604,0.595,0.508,0.793,0.77
P82125,0.558,0.48,0.785,0.671
S52772,0.642,0.551,0.738,0.705
D41693,0.211,0.206,0.485,0.632
X62104,0.137,0.301,0.59,0.457
D37975,0.254,0.182,0.763,0.82
D24932,0.533,0.425,0.691,0.742
D65735,0.829,0.756,0.95,0.929
X30827,0.496,0.408,0.664,0.66
D34179,0.588,0.533,0.779,0.672
S96077,0.588,0.349,0.897,0.693
X33204,0.367,0.276,0.842,0.863
S25569,0.445,0.366,0.767,0.666
X46371,0.491,0.333,0.809,0.683
X56755,0.228,0.34,0.983,0.875
D20314,0.672,0.459,0.845,0.646
A29288,0.301,0.186,0.711,0.706
A74655,0.382,0.338,0.689,0.686
P32573,0.144,0.184,0.791,0.984
A57773,0.148,0.259,0.596,0.568
X30641,0.607,0.445,0.734,0.701
X47772,0.64,0.451,0.828,0.748
P40959,0.481,0.42,0.78,0.685
S63490,0.494,0.382,0.685,0.786
A26547,0.222,0.211,0.831,0.761
X40988,0.281,0.245,0.626,0.458
D73169,0.113,0.229,0.207,0.301
D99501,0.308,0.168,0.819,0.695
P31473,0.583,0.373,0.905,0.701
D60685,0.546,0.425,0.669,0.595
A82620,0.292,0.232,0.651,0.588
D87885,0.216,0.193,0.462,0.472
X80454,0.301,0.315,0.39,0.492
P27674,0.927,0.725,0.959,0.842
X40088,0.237,0.289,0.69,0.425
P71195,0.177,0.214,0.762,0.396
P62577,0.598,0.541,0.718,0.704
P81933,0.138,0.221,0.441,0.463
D42441,0.64,0.532,0.741,0.758
S89445,0.701,0.631,0.781,0.772
P13412,0.165,0.191,1.0,1.0
D45423,0.731,0.465,0.794,0.678
P94272,0.805,0.759,0.904,0.889
A67724,0.575,0.372,0.898,0.732
X34082,0.392,0.439,0.774,0.647
S33845,0.464,0.414,0.805,0.627
X68110,0.625,0.514,0.803,0.795
A18214,0.21,0.159,0.446,0.568
S28684,0.537,0.378,0.723,0.737
D44430,0.299,0.197,0.8,0.881
P18145,0.586,0.346,0.766,0.691
A92403,0.657,0.534,0.795,0.678
A30979,0.298,0.116,0.827,0.836
X76146,0.515,0.42,0.724,0.825
S40277,0.623,0.553,0.762,0.764
D22644,0.601,0.485,0.822,0.703
D91454,0.452,0.441,0.745,0.84
P65380,0.605,0.445,0.768,0.763
D83143,0.458,0.404,0.791,0.719
P30241,0.612,0.472,0.802,0.697
D46073,0.425,0.415,0.663,0.723
X53491,0.258,0.135,0.953,0.906
P53169,0.242,0.27,0.767,0.868
P73515,0.174,0.17,0.303,0.325
A40462,0.629,0.581,0.772,0.724
X16132,0.631,0.375,0.834,0.83
P28019,0.718,0.55,0.837,0.673
A63617,0.656,0.483,0.818,0.706
A91615,0.665,0.556,0.861,0.815
X73326,0.493,0.362,0.757,0.689
S23234,0.168,0.139,0.761,0.797
S96743,0.516,0.399,0.693,0.63
P51117,0.449,0.471,0.698,0.714
A10468,0.142,0.188,0.728,0.874
X85358,0.213,0.235,0.509,0.438
P63858,0.319,0.239,0.876,0.822
S70807,0.474,0.385,0.844,0.785
A51790,0.692,0.616,0.843,0.817
S56232,0.588,0.462,0.717,0.631
D22607,0.241,0.169,0.529,0.449
X47793,0.499,0.388,0.679,0.703
X43614,0.453,0.381,0.686,0.572
D48242,0.194,0.327,0.428,0.477
X40735,0.463,0.449,0.641,0.783
P60120,0.515,0.39,0.754,0.712
X27342,0.441,0.622,0.711,0.837
P43948,0.474,0.376,0.63,0.478
P24768,0.648,0.469,0.874,0.66
A31631,0.843,0.654,0.933,0.821
X52985,0.522,0.417,0.82,0.704
P20106,0.587,0.509,0.842,0.74
P64578,0.292,0.253,0.418,0.311
X86319,0.329,0.295,0.529,0.41
X47692,0.667,0.528,0.771,0.676
X40153,0.24,0.142,0.605,0.52
S43996,0.201,0.258,0.711,0.499
A46783,0.576,0.423,0.766,0.8
D75954,0.42,0.339,0.677,0.637
X95528,0.565,0.397,0.773,0.739
D48525,0.461,0.341,0.703,0.689
S70249,0.627,0.456,0.744,0.682
X76718,0.317,0.279,0.838,0.769
P78923,0.52,0.441,0.838,0.65
S27869,0.842,0.812,0.909,0.9
D35824,0.459,0.386,0.802,0.701
S47506,0.377,0.377,0.724,0.741
D57214,0.302,0.282,0.767,0.773
D55420,0.538,0.514,0.671,0.795
S47897,0.369,0.442,0.731,0.787
P46578,0.442,0.457,0.689,0.603
A66832,0.52,0.49,0.664,0.765
D37562,0.643,0.464,0.804,0.835
X84485,0.265,0.28,0.85,0.788
X33627,0.619,0.408,0.791,0.682
S34043,0.251,0.204,0.771,0.499
S71925,0.538,0.414,0.812,0.645
D59994,0.436,0.327,0.606,0.492
A49045,0.654,0.56,0.862,0.693
A37924,0.264,0.104,0.77,0.622
P59995,0.525,0.407,0.838,0.766
D64931,0.221,0.121,0.832,0.681
S71256,0.614,0.496,0.742,0.703
S74284,0.672,0.595,0.843,0.908
X85662,0.453,0.413,0.808,0.768
S23494,0.209,0.092,0.665,0.682
D56228,0.504,0.277,0.885,0.596
A32815,0.107,0.24,0.439,0.59
S61737,0.171,0.247,0.525,0.589
P85485,0.243,0.206,0.543,0.497
S64404,0.251,0.204,0.569,0.43
P65413,0.297,0.258,0.848,0.74
P15264,0.19,0.15,0.252,0.335
X62054,0.345,0.119,0.793,0.674
A13079,0.475,0.437,0.714,0.776
A74029,0.242,0.191,0.725,0.633
X74957,0.55,0.511,0.68,0.671
D13665,0.707,0.415,0.807,0.645
S71280,0.345,0.26,0.811,0.609
D17811,0.432,0.4,0.692,0.721
A25032,0.628,0.443,0.79,0.776
S23275,0.514,0.434,0.828,0.909
X95219,0.548,0.456,0.795,0.779
D99210,0.29,0.197,0.847,0.946
A59524,0.442,0.428,0.721,0.77
S30212,0.611,0.547,0.705,0.699
X67016,0.169,0.242,0.481,0.498
A19997,0.604,0.448,0.838,0.648
A90654,0.516,0.365,0.789,0.65
P68523,0.414,0.449,0.62,0.641
P96593,0.702,0.513,0.833,0.704
X42197,0.167,0.173,0.549,0.438
X39903,0.194,0.233,0.669,0.771
D30598,0.518,0.361,0.774,0.648
D65389,0.456,0.323,0.712,0.704
X89935,0.265,0.244,0.69,0.883
X92052,0.685,0.58,0.795,0.77
A20835,0.703,0.476,0.895,0.658
D81222,0.435,0.401,0.691,0.615
X83561,0.21,0.113,0.633,0.43
A91968,0.633,0.447,0.782,0.758
P20520,0.526,0.432,0.738,0.756
P20820,0.599,0.466,0.723,0.802
D52062,0.476,0.42,0.719,0.785
P60745,0.495,0.492,0.803,0.785
S62175,0.679,0.495,0.853,0.696
S93024,0.427,0.411,0.637,0.7
P16750,0.668,0.448,0.739,0.596
D41455,0.551,0.372,0.761,0.757
P88882,0.417,0.373,0.655,0.688
D73073,0.62,0.578,0.799,0.696
X78343,0.241,0.197,0.523,0.406
P36066,0.172,0.145,0.554,0.353
P44804,0.514,0.488,0.721,0.742
D83122,0.827,0.753,0.931,0.9
D71694,0.58,0.397,0.878,0.826
X19224,0.688,0.583,0.805,0.812
A64460,0.184,0.171,0.252,0.261
D30313,0.626,0.471,0.813,0.618
P29257,0.193,0.141,0.456,0.238
A70372,0.633,0.514,0.682,0.672
S48775,0.8,0.65,0.906,0.892
A23710,0.559,0.53,0.79,0.841
X20304,0.258,0.207,0.957,0.883
P24711,0.519,0.374,0.721,0.797
S82952,0.608,0.486,0.765,0.702
P88482,0.517,0.448,0.772,0.745
P43732,0.611,0.432,0.789,0.657
P20596,0.618,0.477,0.777,0.666
D64667,0.709,0.494,0.825,0.674
D82680,0.169,0.155,0.425,0.273
A91174,0.225,0.301,0.345,0.526
A68678,0.202,0.203,0.413,0.483
A85736,0.693,0.542,0.805,0.708
D64494,0.201,0.21,0.48,0.451
S90380,0.228,0.216,0.451,0.383
D86261,0.592,0.399,0.768,0.743
S18779,0.491,0.414,0.771,0.783
D51484,0.658,0.521,0.781,0.771
X28274,0.131,0.218,0.249,0.254
P98212,0.557,0.543,0.742,0.741
S34061,0.17,0.114,0.2,0.182
S17448,0.559,0.434,0.739,0.63
X28243,0.227,0.141,0.448,0.318
D19694,0.197,0.108,0.94,0.887
S20018,0.318,0.186,0.649,0.721
A99391,0.44,0.398,0.839,0.797
D71511,0.601,0.545,0.814,0.743
P70296,0.585,0.552,0.79,0.659
S95603,0.214,0.194,0.434,0.278
X70775,0.709,0.445,0.79,0.595
X17028,0.554,0.505,0.759,0.805
P89193,0.649,0.481,0.727,0.705
D53060,0.558,0.502,0.703,0.714
P61305,0.478,0.387,0.65,0.654
D41998,0.832,0.619,0.937,0.821
P23926,0.688,0.414,0.926,0.796
X77398,0.556,0.429,0.67,0.671
D15173,0.504,0.439,0.86,0.74
S40558,0.222,0.17,0.874,0.762
S20731,0.655,0.437,0.775,0.548
X88922,0.424,0.386,0.713,0.874
S93662,0.599,0.531,0.768,0.692
S80476,0.342,0.081,1.0,0.827
A63047,0.226,0.172,0.572,0.792
D91833,0.545,0.383,0.819,0.642
A16091,0.417,0.436,0.668,0.774
P39889,0.596,0.46,0.749,0.611
A42839,0.55,0.525,0.734,0.674
P84338,0.574,0.542,0.714,0.737
X43031,0.77,0.588,0.856,0.756
D81980,0.278,0.31,0.549,0.691
A73878,0.727,0.472,0.821,0.731
P27353,0.63,0.55,0.785,0.651
D34630,0.485,0.455,0.772,0.702
A73980,0.383,0.404,0.715,0.619
D47270,0.634,0.526,0.802,0.803
P14277,0.232,0.2,0.497,0.655
A90588,0.178,0.191,0.54,0.474
X73147,0.571,0.468,0.644,0.626
S70494,0.156,0.142,0.604,0.552
A94024,0.493,0.397,0.749,0.777
P42250,0.344,0.114,0.82,0.688
D18850,0.85,0.555,0.916,0.683
X48514,0.154,0.191,0.787,0.797
A66334,0.6,0.519,0.727,0.741
S71312,0.509,0.354,0.783,0.751
D52418,0.573,0.435,0.679,0.703
D78976,0.674,0.634,0.835,0.76
D98087,0.397,0.184,0.895,0.928
S57337,0.217,0.294,0.501,0.229
S23299,0.631,0.582,0.864,0.708
P39770,0.625,0.485,0.749,0.693
X94663,0.249,0.177,0.836,0.687
X17338,0.656,0.498,0.844,0.795
A81552,0.653,0.515,0.817,0.758
S19158,0.263,0.203,0.461,0.218
S46248,0.299,0.209,0.785,0.812
S92114,0.578,0.485,0.676,0.756
X56462,0.207,0.089,0.582,0.481
S44084,0.638,0.485,0.824,0.678
X56457,0.583,0.586,0.782,0.802
P77123,0.281,0.217,0.472,0.478
S16009,0.518,0.376,0.747,0.685
A54182,0.474,0.419,0.667,0.681
S53907,0.377,0.152,0.817,0.708
D70816,0.662,0.44,0.777,0.68
X19884,0.187,0.22,0.652,0.57
A19179,0.259,0.234,0.486,0.483
A32984,0.608,0.547,0.75,0.716
S90173,0.509,0.42,0.785,0.766
P16795,0.443,0.46,0.63,0.652
D22038,0.334,0.136,0.796,0.555
X46972,0.657,0.5,0.802,0.788
X60296,0.678,0.569,0.811,0.8
D20024,0.237,0.195,0.495,0.221
X18169,0.489,0.395,0.827,0.81
X99126,0.572,0.525,0.694,0.654
X44514,0.409,0.432,0.788,0.761
P81047,0.698,0.46,0.724,0.613
P84765,0.264,0.227,0.362,0.378
D55452,0.556,0.551,0.743,0.737
D71185,0.156,0.172,0.502,0.557
X89207,0.593,0.519,0.826,0.728
X41269,0.257,0.218,0.941,0.635
S45028,0.67,0.469,0.772,0.589
D81793,0.519,0.298,0.676,0.722
D22484,0.422,0.369,0.874,0.713
X80616,0.455,0.454,0.699,0.667
D20561,0.312,0.199,0.623,0.416
S56829,0.229,0.169,0.552,0.467
A53965,0.622,0.398,0.777,0.661
X87182,0.216,0.193,0.884,0.705
D92705,0.541,0.45,0.861,0.849
D26980,0.463,0.427,0.73,0.703
P99896,0.408,0.444,0.797,0.833
X64430,0.259,0.23,0.645,0.519
P65770,0.815,0.647,0.918,0.836
S92847,0.179,0.181,0.295,0.272
A24893,0.182,0.195,0.236,0.324
X80052,0.627,0.402,0.776,0.612
D37771,0.66,0.632,0.782,0.742
X40637,0.213,0.218,0.808,0.608
S79490,0.375,0.157,0.904,0.812
S62251,0.598,0.521,0.806,0.656
X56447,0.749,0.716,0.901,0.899
D23161,0.534,0.386,0.793,0.68
X69709,0.412,0.391,0.682,0.646
A34815,0.568,0.442,0.633,0.726
A42661,0.839,0.669,0.881,0.788
P26900,0.542,0.422,0.729,0.732
X87103,0.403,0.349,0.802,0.722
X49151,0.512,0.509,0.75,0.738
A69271,0.524,0.502,0.688,0.7
P91586,0.241,0.198,0.539,0.519
X82496,0.288,0.058,0.892,0.536
P37811,0.263,0.135,0.502,0.233
S89742,0.308,0.187,0.732,0.84
X97524,0.129,0.192,0.337,0.408
D92637,0.776,0.633,0.845,0.772
P17512,0.549,0.374,0.848,0.67
P47606,0.403,0.389,0.718,0.748
S89215,0.517,0.398,0.791,0.59
A43908,0.318,0.192,0.837,0.793
X12925,0.581,0.613,0.782,0.749
A16914,0.594,0.481,0.803,0.712
S76403,0.465,0.381,0.724,0.727
X59553,0.525,0.499,0.681,0.689
P42196,0.397,0.369,0.826,0.768
D47232,0.486,0.402,0.73,0.792
S28089,0.2,0.153,0.325,0.276
A72588,0.21,0.328,0.831,0.765
D89120,0.548,0.498,0.773,0.651
X38210,0.257,0.178,0.701,0.529
A16508,0.303,0.195,0.732,0.623
A30184,0.472,0.433,0.656,0.803
D46693,0.647,0.479,0.745,0.66
D68897,0.422,0.327,0.837,0.815
D93339,0.51,0.368,0.701,0.672
X34081,0.642,0.524,0.788,0.701
X67443,0.435,0.365,0.709,0.689
D59740,0.646,0.491,0.773,0.726
S12633,0.219,0.094,0.316,0.092
P43240,0.68,0.539,0.816,0.674
P29280,0.207,0.152,0.88,0.795
D31249,0.18,0.212,0.287,0.448
P16775,0.161,0.218,0.424,0.41
S44118,0.548,0.476,0.802,0.648
P52604,0.233,0.24,0.763,0.804
P37360,0.637,0.502,0.752,0.778
D15562,0.675,0.445,0.793,0.739
X29202,0.562,0.431,0.766,0.659
S47591,0.234,0.176,0.308,0.317
S90214,0.298,0.2,0.53,0.459
X82114,0.527,0.562,0.741,0.673
A76805,0.2,0.198,0.525,0.418
X15884,0.674,0.508,0.797,0.698
D88945,0.595,0.62,0.767,0.746
A57236,0.283,0.267,0.448,0.509
S78147,0.749,0.636,0.815,0.749
X41179,0.623,0.554,0.718,0.692
S21705,0.549,0.536,0.798,0.628
S60667,0.154,0.156,0.133,0.254
P75200,0.779,0.593,0.898,0.761
A40377,0.243,0.33,0.355,0.589
P91570,0.572,0.555,0.764,0.818
X46752,0.173,0.137,0.505,0.428
P43439,0.614,0.44,0.721,0.703
A19503,0.296,0.266,0.767,0.767
A72480,0.425,0.32,0.692,0.637
D75126,0.464,0.33,0.731,0.779
X83941,0.326,0.207,1.0,0.743
X74962,0.553,0.487,0.768,0.786
D44187,0.094,0.27,0.224,0.401
D14255,0.58,0.38,0.81,0.607
X57098,0.247,0.237,0.781,0.861
X37545,0.555,0.341,0.765,0.691
X23644,0.868,0.649,0.914,0.772
A39232,0.675,0.494,0.871,0.688
P37335,0.449,0.505,0.718,0.681
S52682,0.658,0.516,0.822,0.758
D71075,0.892,0.809,0.954,0.903
X65073,0.539,0.486,0.817,0.765
S36316,0.446,0.484,0.868,0.844
P73598,0.284,0.209,0.482,0.519
P67497,0.168,0.123,0.61,0.564
D86496,0.269,0.236,0.474,0.594
S43011,0.237,0.204,0.788,0.852
D84961,0.486,0.309,0.717,0.723
D68980,0.259,0.285,0.759,0.792
S81997,0.22,0.281,0.351,0.315
A35148,0.35,0.17,0.712,0.876
S94328,0.734,0.736,0.868,0.89
X48143,0.554,0.475,0.705,0.667
A34962,0.219,0.157,0.331,0.293
D63277,0.178,0.182,0.332,0.259
P40821,0.76,0.69,0.896,0.855
D87567,0.261,0.123,0.436,0.525
P61578,0.241,0.176,1.0,0.931
X40280,0.315,0.146,0.772,0.672
X15949,0.122,0.214,0.644,0.565
P87527,0.505,0.36,0.695,0.802
S94105,0.256,0.216,0.755,1.0
P42093,0.071,0.176,0.418,0.469
X69782,0.205,0.225,0.348,0.543
P74522,0.238,0.261,0.408,0.328
X79296,0.652,0.505,0.765,0.618
A98360,0.243,0.148,0.718,0.652
X11015,0.155,0.251,0.502,0.443
A17432,0.686,0.531,0.814,0.733
A64951,0.127,0.276,0.456,0.597
X89662,0.565,0.61,0.727,0.797
D24326,0.626,0.491,0.703,0.687
X46707,0.105,0.212,0.5,0.472
X16376,0.316,0.284,0.596,0.537
S39158,0.558,0.338,0.83,0.669
A43727,0.695,0.441,0.79,0.715
S71793,0.579,0.37,0.781,0.659
S38492,0.539,0.466,0.833,0.745
P40528,0.367,0.444,0.71,0.69
D95525,0.493,0.302,0.803,0.673
P72289,0.636,0.553,0.777,0.699
A43169,0.283,0.132,0.775,0.654
A88246,0.61,0.521,0.735,0.726
S16277,0.231,0.208,0.56,0.52
S43191,0.308,0.292,0.786,0.807
X15660,0.666,0.436,0.789,0.71
X19555,0.49,0.424,0.721,0.74
S54160,0.469,0.363,0.698,0.501
S86429,0.531,0.357,0.786,0.741
A87556,0.242,0.305,0.571,0.562
X53244,0.664,0.645,0.763,0.818
S43950,0.796,0.518,0.804,0.672
P66360,0.259,0.189,0.896,0.938
X24883,0.234,0.183,0.374,0.309
P64349,0.471,0.394,0.802,0.68
X82295,0.356,0.475,0.627,0.76
X13264,0.578,0.417,0.811,0.767
X70643,0.558,0.383,0.817,0.775
P92976,0.47,0.471,0.81,0.842
X24758,0.264,0.205,0.513,0.523
D82459,0.244,0.196,0.751,0.75
P41582,0.639,0.504,0.77,0.613
D45021,0.203,0.208,0.342,0.398
X50234,0.459,0.319,0.834,0.597
D26066,0.384,0.426,0.713,0.786
A60724,0.605,0.535,0.771,0.685
S99949,0.276,0.149,0.548,0.474
X86576,0.515,0.417,0.808,0.778
X84977,0.575,0.66,0.799,0.804
X92465,0.311,0.26,0.857,0.632
P42302,0.6,0.54,0.677,0.784
D97505,0.258,0.092,0.452,0.286
P42504,0.196,0.272,0.47,0.591
S62309,0.601,0.489,0.76,0.709
